carat,cut,color,clarity,depth,table,price,x,y,z,date_sold
0.72,Ideal,2,SI2,62.4,57,"$2,939",5.71,5.74,3.57,01/05/04
0.97,Ideal,5,VVS1,60.4,57,"$6,801",6.4,6.48,3.89,29/04/08
0.33,Ideal,4,VS2,62.2,56,$579,4.44,4.47,2.77,06/04/19
0.4,Premium,4,IF,60.8,58,"$1,397",4.77,4.73,2.89,08/09/16
0.73,Very Good,2,SI2,59.6,57,"$2,359",5.87,5.91,3.51,18/02/02
0.33,Ideal,4,VVS2,62.7,55,$965,4.46,4.41,2.78,13/04/03
1.15,Premium,4,VVS2,58.4,59,"$8,501",6.92,6.84,4.02,27/03/18
1.05,Ideal,5,SI2,61.9,56,"$4,586",6.56,6.49,4.04,11/09/09
1.06,Premium,4,VS2,62.5,58,"$5,543",6.52,6.47,4.06,30/01/99
0.8,Premium,1,SI2,61.1,58,"$3,082",5.94,5.9,3.62,11/04/04
0.41,Ideal,5,VVS2,62,56,$961,4.78,4.74,2.95,31/03/08
2.3,Premium,5,SI2,62.7,56,"$15,992",8.46,8.42,5.29,24/06/07
0.32,Ideal,4,SI1,62.6,55,$445,4.38,4.41,2.75,29/04/17
0.54,Ideal,1,VVS2,61.5,55,"$2,848",5.25,5.29,3.24,05/11/14
0.38,Ideal,4,SI1,61,57,$629,4.66,4.71,2.86,28/02/02
0.36,Ideal,1,VVS2,61.6,57,"$1,042",4.56,4.59,2.82,05/05/98
0.32,Very Good,7,VS1,60.6,59,$421,4.42,4.46,2.69,06/09/01
0.44,Premium,5,SI2,59.6,60,$759,4.95,4.93,2.96,30/01/02
0.3,Premium,5,SI2,60.9,59,$473,4.35,4.32,2.64,24/10/98
0.33,Ideal,5,VVS2,62.2,56,$854,4.46,4.44,2.77,30/05/09
0.64,Premium,1,VS2,60.9,59,"$2,243",5.6,5.63,3.42,05/11/03
0.42,Ideal,1,VVS1,61.8,56,"$1,621",4.82,4.79,2.97,22/04/98
5.01,Fair,7,I1,65.5,59,"$18,018",10.74,10.54,6.98,20/09/05
1.01,Good,3,SI1,63.6,58,"$4,899",6.31,6.37,4.03,01/01/04
0.54,Premium,4,VS1,61.1,60,"$1,637",5.23,5.28,3.21,16/01/18
0.34,Very Good,2,SI1,63.5,55,$714,4.47,4.44,2.83,18/07/16
0.58,Very Good,2,VS2,60.3,57,"$1,608",5.41,5.44,3.27,23/11/14
0.53,Premium,3,VS2,61.4,60,"$1,753",5.21,5.18,3.19,11/12/18
1.17,Ideal,4,VS2,62,56,"$7,413",6.71,6.74,4.17,16/09/01
0.24,Very Good,4,VS1,62.4,56,$391,3.99,4.03,2.5,17/07/02
0.76,Ideal,4,SI2,62.3,55,"$2,489",5.83,5.89,3.65,16/04/08
0.27,Ideal,3,VS2,61.8,53,$583,4.18,4.2,2.59,06/03/08
1.13,Ideal,5,I1,62.2,55,"$3,678",6.65,6.69,4.15,12/02/15
0.81,Premium,5,VS2,58,59,"$2,795",6.17,6.13,3.57,07/02/03
0.4,Good,4,VS2,63.8,59,$807,4.64,4.57,2.94,13/05/00
0.71,Fair,1,VS2,56.9,65,"$2,858",5.89,5.84,3.34,30/03/01
2.05,Ideal,4,SI2,61.6,56,"$18,017",8.11,8.16,5.01,21/06/02
0.57,Ideal,3,VS2,61.6,56,"$1,684",5.37,5.34,3.3,07/08/17
1.01,Premium,1,SI2,62.8,59,"$4,672",6.44,6.34,4.01,09/08/14
0.35,Very Good,5,VVS2,63,55,$706,4.48,4.5,2.83,28/12/00
1.13,Ideal,1,VVS2,62.3,54,"$12,788",6.64,6.7,4.16,20/07/16
0.9,Premium,3,SI1,61.2,59,"$4,158",6.19,6.16,3.78,13/05/00
1.16,Ideal,4,IF,62.3,55,"$10,082",6.79,6.73,4.21,30/03/18
0.4,Good,3,SI1,63.6,56,$882,4.68,4.63,2.96,22/12/14
0.7,Premium,5,SI1,62,58,"$2,155",5.65,5.71,3.52,02/02/08
1.03,Ideal,4,VVS2,60.7,57,"$8,385",6.5,6.58,3.97,09/11/15
2.53,Premium,5,SI1,62.1,59,"$18,254",8.83,8.73,5.45,14/09/07
0.3,Ideal,3,VS2,62.1,55,$776,4.31,4.26,2.66,23/08/99
0.23,Very Good,2,VVS1,59.9,55,$682,3.99,4.13,2.43,14/07/00
1.23,Very Good,3,VVS2,62.2,58,"$11,382",6.81,6.86,4.25,13/09/16
0.3,Good,6,SI1,63.5,57,$394,4.24,4.26,2.7,06/09/10
0.7,Good,1,SI2,63.6,62,"$2,247",5.61,5.55,3.55,21/09/12
0.31,Ideal,2,VVS2,61.6,57,"$1,046",4.37,4.33,2.68,23/01/12
0.34,Premium,2,SI1,61.8,58,$765,4.5,4.47,2.77,27/01/17
1.01,Very Good,4,VS1,63.1,55,"$6,795",6.34,6.37,4.01,31/10/98
0.6,Premium,3,SI1,62.9,59,"$1,323",5.39,5.31,3.37,10/06/08
0.3,Ideal,3,VVS1,62.1,55,"$1,114",4.32,4.31,2.68,03/06/99
0.7,Premium,4,VS2,62.2,61,"$2,657",5.59,5.54,3.46,30/01/14
0.42,Ideal,3,VVS2,62.1,55,"$1,221",4.81,4.79,2.98,10/09/01
0.24,Very Good,2,VVS1,62.8,59,$485,3.94,3.96,2.48,07/02/01
0.74,Ideal,3,SI1,61.2,56,"$2,889",5.83,5.87,3.58,04/11/00
0.91,Very Good,1,SI1,62,60,"$4,444",6.12,6.2,3.82,05/09/18
0.7,Ideal,2,SI1,62.3,56,"$2,575",5.68,5.72,3.55,02/05/08
1.08,Premium,4,SI2,59.3,61,"$3,701",6.66,6.61,3.94,06/12/02
0.32,Ideal,3,SI1,60.9,55,$586,4.46,4.53,2.72,13/09/14
0.7,Premium,3,VVS2,62.5,59,"$3,018",5.68,5.61,3.53,10/06/11
0.71,Ideal,4,VS1,61.5,56,"$2,859",5.74,5.78,3.54,15/05/18
1.08,Very Good,6,SI1,62.2,57,"$4,933",6.57,6.54,4.08,24/11/14
0.73,Very Good,5,VS1,61.4,58,"$2,557",5.75,5.85,3.56,27/08/10
0.79,Ideal,4,SI1,61.8,56,"$2,831",5.93,5.91,3.66,26/03/04
0.38,Very Good,5,SI1,60.1,57,$662,4.73,4.75,2.85,31/08/11
1.23,Very Good,5,VS2,62.4,58,"$6,848",6.8,6.85,4.26,10/06/11
0.36,Premium,1,VS2,61.8,58,"$1,094",4.58,4.55,2.82,09/05/15
0.5,Very Good,3,IF,61.4,60,"$2,238",5.07,5.1,3.12,17/09/18
0.4,Ideal,3,VS2,62.6,54,$843,4.73,4.78,2.98,17/01/05
1.19,Premium,6,SI2,59.5,59,"$4,498",6.95,6.89,4.12,27/11/01
1.01,Very Good,6,VS2,62.9,56,"$5,067",6.38,6.43,4.03,22/05/08
0.78,Ideal,5,SI1,61.2,56,"$2,781",5.92,5.99,3.64,29/04/10
0.95,Ideal,4,VS2,61.6,56,"$4,549",6.34,6.3,3.89,27/09/05
1.08,Premium,3,SI1,61.3,57,"$5,836",6.63,6.58,4.05,10/01/03
0.5,Fair,2,SI1,65,58,"$1,176",4.98,4.9,3.21,07/07/01
0.34,Premium,7,VS1,61.7,58,$574,4.47,4.41,2.74,04/07/00
1.01,Fair,1,SI2,64.7,57,"$3,871",6.31,6.27,4.07,23/01/15
0.36,Premium,3,SI1,60.3,58,$770,4.65,4.6,2.79,15/11/00
0.33,Very Good,4,SI2,59.4,59,$434,4.5,4.52,2.68,23/02/00
0.54,Ideal,1,VS1,62,56,"$1,941",5.21,5.25,3.24,06/10/01
1.2,Ideal,4,VVS2,61.1,56,"$10,454",6.88,6.91,4.21,02/12/03
1,Premium,3,SI2,61.5,58,"$3,920",6.41,6.38,3.93,05/04/04
0.35,Premium,4,SI1,60.6,58,$669,4.6,4.58,2.78,27/12/07
0.85,Ideal,2,SI1,61.8,54,"$3,167",6.1,6.14,3.78,03/12/99
1.01,Good,3,VS2,63.2,58,"$5,988",6.33,6.36,4.01,06/01/99
1.78,Good,4,SI2,63.8,57,"$9,071",7.73,7.62,4.9,20/05/15
1.61,Ideal,3,VS1,62,55,"$17,256",7.52,7.55,4.67,19/07/10
1.1,Ideal,6,SI2,62.8,57,"$4,158",6.63,6.56,4.14,19/10/07
0.27,Ideal,1,VVS2,62.6,56,$799,4.15,4.13,2.59,10/11/09
0.4,Ideal,1,VS1,62.9,56,"$1,200",4.71,4.67,2.95,23/05/02
1.23,Ideal,6,SI2,62.1,56,"$5,269",6.88,6.84,4.26,22/07/16
2.21,Premium,5,SI2,61.3,60,"$14,299",8.35,8.33,5.11,07/06/06
0.33,Very Good,3,VVS2,63.5,54,$694,4.42,4.37,2.79,09/08/17
0.36,Premium,5,VS1,60.8,59,$810,4.62,4.59,2.8,23/10/10
1.04,Premium,1,SI2,62.4,56,"$5,292",6.5,6.45,4.04,16/11/99
0.4,Very Good,3,VVS1,63.3,57,"$1,224",4.7,4.68,2.97,22/02/07
0.72,Very Good,2,SI1,62.1,57,"$2,578",5.69,5.75,3.55,13/02/08
0.91,Very Good,3,SI2,60.9,58,"$4,054",6.28,6.2,3.8,07/12/01
1.5,Good,4,SI2,64.3,57,"$8,043",7.2,7.29,4.66,18/03/15
0.4,Very Good,2,VVS2,62.8,58,"$1,066",4.68,4.71,2.95,12/11/15
1.01,Very Good,3,SI1,62,56,"$5,107",6.41,6.47,3.99,12/07/09
0.89,Ideal,2,SI2,62.4,56,"$3,429",6.04,6.08,3.78,06/10/03
1.29,Ideal,1,VS1,62.4,55,"$13,485",6.93,6.99,4.34,24/12/99
1.4,Premium,2,SI2,62.4,57,"$6,147",7.17,7.12,4.46,25/06/07
1.66,Premium,1,SI1,62,59,"$14,354",7.6,7.55,4.7,06/02/05
0.24,Good,2,VS2,63,59,$378,3.96,4.01,2.51,09/12/02
0.68,Very Good,4,IF,62.7,56,"$3,143",5.56,5.6,3.5,17/07/06
0.7,Ideal,2,SI2,62.3,58,"$2,436",5.66,5.7,3.54,02/10/05
2.06,Very Good,4,SI2,59,58,"$15,938",8.3,8.38,4.92,09/02/17
0.7,Ideal,2,VS2,62.5,58,"$2,917",5.63,5.67,3.53,26/08/08
0.31,Ideal,4,VVS1,62.3,54,$789,4.37,4.4,2.73,26/01/08
1.01,Premium,4,SI2,59.5,55,"$4,355",6.59,6.53,3.9,28/12/14
0.54,Very Good,4,VS1,64,59.5,"$1,563",5.12,5.17,3.3,17/02/18
0.56,Ideal,1,SI1,62.5,56,"$1,608",5.24,5.28,3.29,26/12/12
0.72,Ideal,3,VVS1,61.8,57,"$5,086",5.73,5.76,3.55,13/11/00
2.1,Premium,6,SI1,59.9,61,"$15,615",8.34,8.26,4.97,14/07/12
0.5,Premium,4,VVS2,61.6,60,"$1,838",5.1,5.13,3.15,31/05/07
1.18,Premium,6,SI1,62.8,56,"$5,088",6.74,6.71,4.22,16/04/00
0.31,Premium,5,VVS2,61.2,60,$802,4.39,4.37,2.68,11/08/12
0.72,Very Good,2,SI2,60.1,55.8,"$2,651",5.83,5.85,3.51,06/10/01
0.82,Fair,3,SI2,56.7,70,"$2,508",6.28,6.16,3.53,07/08/05
0.37,Premium,6,VVS1,62.4,58,$874,4.58,4.55,2.85,04/10/11
0.5,Premium,4,SI1,62.8,61,"$1,286",5.01,4.99,3.14,15/10/09
0.76,Very Good,6,SI1,57.5,62,"$2,316",6.03,6.08,3.48,10/09/10
1.75,Ideal,6,VS2,61,56,"$12,127",7.75,7.82,4.75,16/03/08
0.37,Ideal,5,SI1,60.9,57,$552,4.63,4.67,2.83,24/04/14
0.3,Ideal,6,VS1,61,56,$608,4.37,4.35,2.66,05/04/16
0.28,Ideal,3,VVS2,62.2,53,$787,4.22,4.23,2.63,10/05/02
0.64,Ideal,3,VS1,61.9,56.8,"$2,222",5.55,5.6,3.45,13/12/13
1.25,Very Good,3,VS2,62.5,59,"$9,377",6.81,6.89,4.28,20/09/98
0.33,Premium,3,VVS2,62.3,60,$901,4.43,4.4,2.75,03/10/01
0.31,Premium,2,VS2,61,59,$680,4.35,4.37,2.66,23/04/10
0.63,Ideal,4,IF,61.9,56,"$3,363",5.5,5.52,3.41,29/04/03
0.7,Ideal,5,VS1,61.2,55,"$3,185",5.71,5.76,3.51,18/10/13
2.01,Premium,6,VS2,62.6,59,"$16,778",8.04,8.01,5.02,26/12/00
2,Very Good,5,SI1,63.3,59,"$17,760",8.03,7.96,5.06,23/01/12
0.56,Premium,2,VS2,61,62,"$1,882",5.36,5.28,3.24,09/03/14
1.02,Ideal,3,SI2,61.4,56,"$4,578",6.47,6.5,3.98,24/10/04
1.01,Very Good,3,SI2,63.4,56,"$4,355",6.4,6.34,4.04,07/07/11
0.72,Ideal,5,IF,62.1,58,"$3,283",5.72,5.75,3.56,19/11/11
1.01,Ideal,3,SI2,60.6,57,"$4,239",6.49,6.55,3.95,27/12/07
0.41,Ideal,2,VVS2,62.5,57,"$1,082",4.76,4.71,2.96,24/09/15
1.51,Ideal,7,VS2,61.5,56,"$8,203",7.37,7.4,4.54,14/09/10
1,Premium,2,SI1,61.1,60,"$5,174",6.47,6.42,3.94,12/04/98
0.58,Very Good,5,SI1,61.8,56,"$1,219",5.34,5.38,3.31,14/01/01
1.01,Good,4,VVS2,63.1,56,"$7,430",6.34,6.4,4.02,04/04/05
0.9,Ideal,4,SI2,60.7,57,"$4,314",6.19,6.33,3.8,05/05/15
1.22,Ideal,3,SI1,62.8,55,"$6,456",6.87,6.79,4.29,17/05/07
1.53,Premium,7,VVS1,61.6,58,"$9,322",7.4,7.37,4.55,21/09/06
0.53,Ideal,5,VS2,61.5,56,"$1,427",5.21,5.26,3.22,03/12/00
0.71,Good,3,SI1,63.9,57,"$2,331",5.57,5.61,3.57,14/08/13
0.31,Premium,5,VS1,62.6,60,$544,4.3,4.32,2.7,18/12/09
0.32,Ideal,4,VVS2,61.3,55,$698,4.4,4.44,2.71,04/03/99
1.51,Premium,4,VS2,60.7,60,"$12,437",7.36,7.4,4.48,01/12/16
2.39,Premium,5,SI1,61.8,58,"$15,917",8.57,8.52,5.28,21/11/10
1.52,Ideal,5,VS2,60.7,56,"$11,206",7.49,7.41,4.52,24/04/08
0.5,Ideal,5,SI1,62.2,57,"$1,140",5.07,5.09,3.16,26/02/04
0.39,Ideal,2,VS1,62.2,53.3,"$1,004",4.68,4.7,2.92,13/05/11
0.71,Premium,1,VS2,59.2,59,"$3,161",5.86,5.8,3.45,15/02/16
0.34,Ideal,4,VVS2,61.6,56,$775,4.47,4.49,2.76,02/08/13
0.71,Very Good,4,SI1,62.9,56,"$2,184",5.68,5.73,3.59,27/04/19
0.35,Ideal,1,SI2,62.4,55,$522,4.53,4.54,2.83,15/03/15
1.14,Premium,4,SI1,62.2,58,"$5,326",6.64,6.7,4.15,24/09/04
0.34,Ideal,2,VVS1,62.2,56,"$1,084",4.46,4.44,2.77,09/01/01
0.32,Ideal,2,VS2,62,54,$900,4.41,4.37,2.72,13/10/12
1.51,Premium,3,VS1,61.7,59,"$15,581",7.33,7.29,4.51,01/06/03
0.91,Fair,1,VS2,65.7,58,"$4,107",6.04,5.99,3.95,29/07/06
0.29,Ideal,5,VS1,62.4,54,$464,4.23,4.26,2.65,15/10/11
1.2,Ideal,5,VS1,62.3,54,"$7,768",6.78,6.86,4.25,16/09/15
0.3,Very Good,2,VVS1,63.5,57,$995,4.27,4.23,2.7,12/11/99
1.23,Premium,4,SI1,62.5,62,"$5,039",6.87,6.78,4.27,27/07/06
0.91,Ideal,6,VS2,61.9,56,"$4,199",6.18,6.22,3.84,30/05/18
1.01,Ideal,2,VVS2,62,56,"$9,483",6.43,6.35,4.01,28/09/00
0.42,Ideal,4,VS1,62.5,54,$921,4.79,4.84,3.01,22/02/13
1.51,Premium,2,SI2,62,62,"$7,610",7.16,7.09,4.42,28/11/09
1.12,Ideal,4,VVS2,61.9,57,"$9,214",6.62,6.66,4.11,21/01/15
0.3,Ideal,5,VS1,61.6,57,$526,4.3,4.33,2.66,24/12/13
0.71,Ideal,4,VS2,61.8,56,"$3,299",5.72,5.75,3.55,08/07/99
0.41,Premium,4,VVS1,61,61,"$1,230",4.75,4.72,2.89,09/02/07
1.05,Premium,1,SI1,59.3,58,"$6,174",6.74,6.68,3.98,17/11/98
0.45,Premium,4,VVS1,60.8,58,"$1,263",4.92,4.98,3.01,20/07/01
1.12,Premium,2,SI2,61.1,58,"$5,620",6.73,6.69,4.1,31/07/14
0.4,Ideal,2,VS1,62.4,58,"$1,250",4.7,4.72,2.94,22/08/02
0.9,Ideal,5,SI2,62.6,57,"$3,548",6.16,6.07,3.83,08/05/15
1.26,Ideal,3,SI1,60.6,56,"$6,922",7.05,6.98,4.25,28/11/11
0.33,Very Good,2,SI1,62.7,56,$579,4.39,4.45,2.77,25/12/06
0.49,Ideal,5,SI2,60.7,56,"$1,190",5.13,5.18,3.13,05/04/18
0.43,Very Good,3,SI2,61.6,59,$681,4.8,4.84,2.97,06/05/07
1,Premium,4,SI2,63,56,"$3,640",6.37,6.33,4,08/08/98
0.5,Fair,5,VS2,56.3,65,"$1,332",5.24,5.21,2.94,09/10/15
1.04,Ideal,6,VS1,61.4,58,"$5,572",6.46,6.54,3.99,30/06/07
0.45,Ideal,5,SI1,61.6,56,$923,4.94,4.96,3.05,03/10/05
0.74,Ideal,4,SI2,62.7,56,"$2,423",5.75,5.8,3.62,29/12/05
1.5,Good,5,SI2,58.4,62,"$7,714",7.44,7.49,4.36,12/05/04
1.01,Ideal,2,SI2,62.2,54,"$4,666",6.39,6.43,3.99,23/10/00
0.56,Ideal,3,SI1,61.1,56,"$1,811",5.35,5.33,3.26,29/10/05
0.3,Very Good,2,VVS2,62.4,57,$743,4.26,4.27,2.66,28/10/03
0.71,Ideal,2,VS1,61.4,59,"$3,198",5.71,5.75,3.52,05/06/14
0.32,Premium,1,SI1,60.8,58,$756,4.44,4.41,2.69,27/09/00
0.6,Premium,2,SI1,63,60,"$1,577",5.44,5.39,3.41,16/07/17
0.54,Ideal,6,VS1,61.6,54,"$1,216",5.26,5.3,3.25,26/02/14
0.38,Very Good,3,VS1,62.7,57,$883,4.71,4.64,2.93,28/08/16
0.32,Good,4,VS2,63.1,57,$561,4.3,4.35,2.73,05/06/07
0.4,Good,7,VS1,63.4,58,$631,4.61,4.64,2.93,21/09/05
2.05,Premium,2,SI2,59.7,59,"$17,237",8.39,8.27,4.97,05/10/14
1.26,Very Good,5,VS2,63.8,52,"$7,567",6.89,6.84,4.38,29/04/18
0.44,Very Good,3,VS1,61.2,61,"$1,081",4.83,4.88,2.97,13/09/05
0.33,Ideal,4,VVS1,62,56,$868,4.45,4.48,2.77,10/11/03
0.33,Ideal,5,VS2,61.8,54,$539,4.45,4.48,2.76,17/01/14
0.4,Premium,3,SI1,61.2,58,$737,4.71,4.74,2.89,13/10/05
0.32,Ideal,1,VVS2,61.6,55,"$1,107",4.41,4.45,2.73,13/07/10
0.35,Premium,1,SI2,62.3,58,$669,4.54,4.48,2.81,10/02/16
0.32,Ideal,2,VVS2,62.3,56,$842,4.37,4.4,2.73,13/05/02
1.71,Very Good,1,SI2,63.5,56,"$11,844",7.58,7.51,4.79,31/10/00
0.46,Very Good,2,SI1,59.3,63,"$1,032",5.09,5.02,3,23/12/17
0.76,Very Good,4,VS2,61.1,57,"$3,170",5.84,5.95,3.6,16/07/11
1.13,Premium,5,I1,62.7,59,"$3,544",6.63,6.58,4.14,17/12/12
0.41,Premium,2,SI2,61.3,59,$683,4.8,4.85,2.96,17/01/16
0.4,Good,1,SI1,63.5,55,$720,4.67,4.72,2.98,06/08/12
0.27,Ideal,2,VVS2,63,56,$799,4.14,4.12,2.6,09/07/04
0.3,Ideal,6,VS1,62,57,$457,4.26,4.29,2.65,15/12/00
0.39,Ideal,2,VS1,59.9,57,$889,4.78,4.8,2.87,07/03/12
0.9,Premium,2,SI1,59.8,55,"$4,385",6.34,6.3,3.78,29/05/08
1.52,Premium,5,VS1,58.4,59,"$11,853",7.55,7.52,4.4,13/06/11
1.1,Premium,5,SI2,62.2,58,"$4,620",6.69,6.6,4.13,23/04/04
1.11,Very Good,2,VVS1,60.2,59,"$11,330",6.67,6.79,4.05,24/06/15
0.51,Ideal,2,VS2,60.4,57,"$1,781",5.18,5.15,3.12,01/02/07
0.28,Very Good,2,VS1,58.9,58,$487,4.27,4.32,2.53,08/05/00
0.32,Premium,5,VS2,60.6,58,$648,4.47,4.44,2.7,27/09/04
0.77,Premium,3,VS1,60.9,60,"$2,859",5.91,5.88,3.59,28/06/13
1.07,Ideal,4,VVS2,62.8,57,"$8,120",6.56,6.46,4.09,11/07/08
0.71,Ideal,2,SI2,58.7,57,"$2,340",5.89,5.86,3.44,10/03/11
0.93,Premium,6,VS2,62.7,61,"$4,073",6.24,6.14,3.88,15/04/14
0.54,Very Good,6,IF,58.8,61,"$1,708",5.29,5.35,3.13,27/11/04
0.51,Good,2,SI1,63.9,54,"$1,443",5.09,5.05,3.24,02/09/05
0.32,Ideal,4,IF,61,56,$918,4.41,4.44,2.7,26/12/99
0.91,Very Good,4,SI1,63.6,57,"$3,961",6.09,6.12,3.88,28/06/07
1.49,Fair,3,SI1,59.6,63,"$8,779",7.2,7.34,4.33,12/02/04
